,title,points,countries,percountries,days,perdays,total
0,Squid Game,57980,90,644,104,558,57980
1,Money Heist,44382,91,488,364,122,44382
2,Lupin,42690,83,514,256,167,42690
3,Sex/Life,34609,82,422,141,245,34609
4,Bridgerton,33973,82,414,146,233,33973
5,New Amsterdam,33561,75,447,255,132,33561
6,Lucifer,32230,80,403,212,152,32230
7,Who Killed Sara?,30363,79,384,88,345,30363
8,Yo soy Betty la fea,29271,17,1722,364,80,29271
9,Maid,29008,88,330,90,322,29008
10,Ginny & Georgia,28496,78,365,112,254,28496
11,The Good Doctor,27654,55,503,233,119,27654
12,You,23940,90,266,87,275,23940
13,"Pablo Escobar, The Drug Lord",22309,18,1239,349,64,22309
14,Vincenzo,20307,56,363,308,66,20307
15,Paw Patrol,20019,53,378,364,55,20019
16,Sex Education,19667,83,237,98,201,19667
17,Riverdale,18915,60,315,226,84,18915
18,Pasión de gavilanes,17714,16,1107,308,58,17714
19,Behind Her Eyes,17409,80,218,73,238,17409
20,Arcane,16660,89,187,54,309,16660
21,Friends,16539,41,403,359,46,16539
22,Shadow and Bone,16403,82,200,55,298,16403
23,Snowpiercer,15699,74,212,98,160,15699
24,Sweet Tooth,15457,82,189,40,386,15457
25,Hometown Cha-Cha-Cha,15210,52,293,124,123,15210
26,CoComelon,14981,34,441,364,41,14981
27,Firefly Lane,14682,77,191,44,334,14682
28,Elite,14208,77,185,75,189,14208
29,Outer Banks,14109,72,196,46,307,14109
30,The Witcher,14055,89,158,236,60,14055
31,The Serpent,13846,75,185,104,133,13846
32,Sexify,12865,78,165,50,257,12865
33,Fate: The Winx Saga,12570,82,153,40,314,12570
34,The Blacklist,12054,57,211,333,36,12054
35,Clickbait,12010,80,150,43,279,12010
36,El inocente,11843,76,156,55,215,11843
37,Too Hot to Handle,11584,74,157,67,173,11584
38,Dynasty,11091,78,142,137,81,11091
39,Never Have I Ever,11035,79,140,48,230,11035
40,Virgin River,10939,75,146,62,176,10939
41,Jupiter's Legacy,10782,81,133,26,415,10782
42,Nuevo Rico Nuevo Pobre,10502,17,618,208,50,10502
43,The Queen of Flow,10485,28,374,172,61,10485
44,Rick and Morty,10456,41,255,156,67,10456
45,The Queen's Gambit,10317,76,136,198,52,10317
46,Hit & Run,10271,79,130,49,210,10271
47,The King's Affection,10171,55,185,79,129,10171
48,Hellbound,9931,90,110,34,292,9931
49,My Name,9726,86,113,65,150,9726
50,Narcos: Mexico,9134,81,113,47,194,9134
51,The Irregulars,8959,82,109,35,256,8959
52,Vikings,8929,67,133,224,40,8929
53,Lost in Space,8837,87,102,29,305,8837
54,Cobra Kai,8830,77,115,59,150,8830
55,Good Girls,8542,72,119,71,120,8542
56,Jurassic World: Camp Cretaceous,8131,83,98,83,98,8131
57,The Five Juanas,8110,72,113,59,137,8110
58,100 Dias Para Enamorarnos,8071,17,475,125,65,8071
59,The Snitch Cartel: Origins,7815,16,488,86,91,7815
60,The Bold Type,7715,57,135,180,43,7715
61,The Circle,7708,55,140,74,104,7708
62,Locke & Key,7584,84,90,45,169,7584
63,Brooklyn Nine-Nine,7578,60,126,262,29,7578
64,Ragnarok,7540,79,95,42,180,7540
65,Titans,7320,82,89,22,333,7320
66,Nevertheless,7235,44,164,105,69,7235
67,Hospital Playlist,7105,16,444,227,31,7105
68,The Cook of Castamar,7006,66,106,133,53,7006
69,The Cook of Castamar,7006,66,106,133,53,7006
70,Demon Slayer: Kimetsu no Yaiba,6866,63,109,259,27,6866
71,The One,6824,71,96,36,190,6824
72,Emily in Paris,6735,90,75,25,269,6735
73,Sky Rojo,6472,61,106,78,83,6472
74,Alice in Borderland,6458,70,92,62,104,6458
75,Crime Scene: The Vanishing at the Cecil Hotel,6240,79,79,21,297,6240
76,StartUp,5978,62,96,59,101,5978
77,Turning Point: 9/11 and the War on Terror,5915,70,85,25,237,5915
78,Kastanjemanden,5834,56,104,88,66,5834
79,Formula 1: Drive to Survive,5818,70,83,49,119,5818
80,Madre solo hay dos,5682,34,167,55,103,5682
81,Chilling Adventures of Sabrina,5664,76,75,21,270,5664
82,Sisyphus: The Myth,5633,32,176,90,63,5633
83,The Crown,5607,53,106,145,39,5607
84,Luis Miguel: The Series,5345,18,297,77,69,5345
85,AlRawabi School for Girls,5259,36,146,62,85,5259
86,Superstore,5239,33,159,184,28,5239
87,Gabby's Dollhouse,5208,53,98,202,26,5208
88,The Office,5025,32,157,189,27,5025
89,Falsa Identidad,4965,19,261,166,30,4965
90,True Story,4907,76,65,26,189,4907
91,Cowboy Bebop,4871,74,66,24,203,4871
92,Midnight Mass,4860,79,62,31,157,4860
93,The 100,4783,49,98,177,27,4783
94,"Love, Death & Robots",4588,81,57,57,80,4588
95,Tribes of Europa,4546,80,57,24,189,4546
96,The Uncanny Counter,4300,21,205,82,52,4300
97,Pokémon Journeys,4185,62,68,85,49,4185
98,Attack on Titan,3997,11,363,141,28,3997
99,Selling Sunset,3919,58,68,29,135,3919
100,Age of Samurai: Battle for Japan,3850,81,48,16,241,3850
101,Atypical,3813,71,54,25,153,3813
102,Mine,3732,26,144,94,40,3732
103,Record of Ragnarok,3707,76,49,25,148,3707
104,Tale of the Nine Tailed,3580,21,170,59,61,3580
105,Law School,3532,16,221,74,48,3532
106,Modern Family,3525,46,77,227,16,3525
107,Maya and the Three,3491,78,45,29,120,3491
108,The Seven Deadly Sins,3451,69,50,109,32,3451
109,Katla,3448,66,52,47,73,3448
110,Disenchantment,3383,64,53,28,121,3383
111,Resurrection: Ertugrul,3187,8,398,311,10,3187
112,My Hero Academia,3017,23,131,209,14,3017
113,Jujutsu Kaisen,3013,12,251,235,13,3013
114,Miraculous: Tales of Ladybug & Cat Noir,2961,38,78,144,21,2961
115,Bling Empire,2955,53,56,36,82,2955
116,Valeria,2953,43,69,45,66,2953
117,Control Z,2948,35,84,30,98,2948
118,"Acero, Woman of Steel",2932,18,163,130,23,2932
119,How to Become a Tyrant,2866,55,52,44,65,2866
120,S.W.A.T.,2814,15,188,63,45,2814
121,Top Secret UFO Projects: Declassified,2779,66,42,23,121,2779
122,The Chair,2759,61,45,19,145,2759
123,Love Marriage Divorce,2639,11,240,122,22,2639
124,Love Marriage Divorce,2639,11,240,122,22,2639
125,The Walking Dead,2624,49,54,97,27,2624
126,Spycraft,2580,52,50,21,123,2580
127,Too Hot to Handle: Brazil,2571,42,61,33,78,2571
128,Deadly Class,2500,26,96,27,93,2500
129,Night Stalker: The Hunt For a Serial Killer,2449,53,46,20,122,2449
130,The Lost Pirate Kingdom,2432,73,33,14,174,2432
131,Snabba Cash,2412,30,80,71,34,2412
132,Run On,2359,32,74,73,32,2359
133,Go Dog Go,2297,48,48,29,79,2297
134,Selena: The Series,2238,20,112,41,55,2238
135,Elite Short Stories: Carla Samuel,2229,53,42,14,159,2229
136,Girl from Nowhere,2220,13,171,63,35,2220
137,Tiny Pretty Things,2196,57,39,33,67,2196
138,Capitani,2120,49,43,64,33,2120
139,The Sons of Sam: A Descent Into Darkness,2108,49,43,17,124,2108
140,Love Alarm,2068,56,37,22,94,2068
141,Halston,2015,47,43,18,112,2015
142,RuPaul's Drag Race,2005,25,80,74,27,2005
143,Castlevania,1957,67,29,20,98,1957
144,Workin' Moms,1924,47,41,18,107,1924
145,Attenborough's Life in Colour,1908,51,37,13,147,1908
146,Crash Landing on You,1891,9,210,180,11,1891
147,Fatma,1680,44,38,47,36,1680
148,Sweet Home,1656,22,75,50,33,1656
149,Outlander,1642,22,75,104,16,1642
150,Beauty and the Baker,1638,18,91,28,58,1638
151,Zero Chill,1631,49,33,20,82,1631
